Task ID,Device ID,Source Node,Destination Node,Success,Path,Latency,Task type,IP Allocation 
225.0,10682.0,zhangjiako_man2,61,True,zhangjiako_man2-zhangjiako_edge2,1.0317935629168238,1.0,,GA
226.0,86041.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.0151388495656264,1.0,,GA
227.0,91675.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0164044491369462,1.0,,GA
228.0,14819.0,cangzhou_man1,64,True,cangzhou_man1-cangzhou_edge1,1.0316030011867943,1.0,,GA
229.0,89897.0,beijing_man1,7,True,beijing_man1-beijing_edge1,1.0162654282593147,1.0,,GA
230.0,48937.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.0137399280562096,1.0,,GA
231.0,97148.0,langfang_man1,66,True,langfang_man1-langfang_edge1,1.0174002079215754,1.0,,GA
232.0,24960.0,xingtai_man1,56,True,xingtai_man1-xingtai_edge1,1.0416080535273147,1.0,,GA
233.0,56210.0,tangshan_man1,50,True,tangshan_man1-tangshan_edge1,1.0144905088660474,1.0,,GA
234.0,268.0,baoding_man1,58,True,baoding_man1-baoding_edge1,1.0342328372488185,1.0,,GA
235.0,47107.0,cangzhou_man1,64,True,cangzhou_man1-cangzhou_edge1,1.013815437058318,1.0,,GA
236.0,73461.0,tianjin_man2,18,True,tianjin_man2-tianjin_edge2,1.0139304520763193,1.0,,GA
237.0,36834.0,tangshan_man2,51,True,tangshan_man2-tangshan_edge2,1.0152091610841245,1.0,,GA
238.0,58761.0,baoding_man2,59,True,baoding_man2-baoding_edge2,1.0137417838070466,1.0,,GA
239.0,32538.0,cangzhou_man1,64,True,cangzhou_man1-cangzhou_edge1,1.016146736661325,1.0,,GA
240.0,91716.0,tianjin_man2,18,True,tianjin_man2-tianjin_edge2,1.0162667719117124,1.0,,GA
241.0,50492.0,beijing_man1,7,True,beijing_man1-beijing_edge1,1.0140345732338023,1.0,,GA
242.0,97073.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0158098719598423,1.0,,GA
243.0,95727.0,beijing_man1,7,True,beijing_man1-beijing_edge1,1.0147686670848524,1.0,,GA
244.0,51358.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.014127067058743,1.0,,GA
245.0,59393.0,baoding_man1,58,True,baoding_man1-baoding_edge1,1.014213125403595,1.0,,GA
246.0,52755.0,handan_man1,54,True,handan_man1-handan_edge1,1.0142167905563804,1.0,,GA
247.0,14263.0,tianjin_man2,17,True,tianjin_man2-tianjin_edge1,6.026035314738525,1.0,,GA
248.0,97037.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0164740730066981,1.0,,GA
249.0,87526.0,baoding_man1,58,True,baoding_man1-baoding_edge1,1.0157231917177458,1.0,,GA
250.0,71639.0,tangshan_man2,51,True,tangshan_man2-tangshan_edge2,1.0153406907582823,1.0,,GA
251.0,55263.0,tianjin_man2,18,True,tianjin_man2-tianjin_edge2,1.0136342804368506,1.0,,GA
252.0,67978.0,cangzhou_man1,64,True,cangzhou_man1-cangzhou_edge1,1.0174622506735365,1.0,,GA
